key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,2,FF,,3,2.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-67,-124,1,0,0,response5disk,7,4,28,5,1,0,0,rectangle,28,5,1,0,0,,5,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",28,5,1,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,5,3.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,126,-36,1,0,0,response3disk,2,5,19,7,1,0,0,rectangle,19,7,1,0,0,,5,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",19,7,1,0,0,0,4,4,35,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,1.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,53,142,1,0,0,response1disk,3,6,-2,1,1,0,0,rectangle,-109,52,1,0,0,1,1,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-21,6,1,0,0,0,5,5,9,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,0.8829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,41,162,1,0,0,response1disk,3,7,-5,-5,1,0,0,rectangle,-5,-5,1,0,0,1,0,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-5,-5,1,0,0,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,1.8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-127,51,1,0,0,response7disk,2,8,-17,2,1,0,0,rectangle,-17,2,1,0,0,1,7,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-17,2,1,0,0,0,7,7,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,1.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-131,56,1,0,0,response7disk,3,9,9,5,1,0,0,rectangle,9,5,1,0,0,1,2,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",9,5,1,0,0,0,8,8,41,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,1,3.5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-140,65,1,0,0,response7disk,4,10,-7,5,1,0,0,rectangle,-7,5,1,0,0,1,6,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-7,5,1,0,0,0,9,9,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,2,2.7378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-118,-50,1,0,0,response5disk,5,11,-9,-6,1,0,0,rectangle,-9,-6,1,0,0,1,5,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-9,-6,1,0,0,0,10,10,40,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,2,1.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,-111,-62,1,0,0,response5disk,5,12,-12,-5,1,0,0,rectangle,-12,-5,1,0,0,1,3,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",-12,-5,1,0,0,0,11,11,19,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,1.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc4e2f49b28d1b1fb0076a,60cc911c317f62aa9aa2f91b,2021-06-18_13h27.19.570,FlowerSimilarity_Experiment,2021.1.2,Win32,60.10699044,60cc862d586bafd4cd2fa98a,,,,,35,135,1,0,0,response1disk,7,13,0,-6,1,0,0,rectangle,0,-6,1,0,0,1,1,"[85,154,171,203,219,0,51,40,15,152,20,132,122,304,261,41,6,146,137,43]",0,-6,1,0,0,0,12,12,3,1,,,,,,,,,,,,,,,,,,,,,,,
