key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,2,FF,,4,1.8345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,32,-92,1,0,0,response3disk,4,4,-13,15,1,0,0,rectangle,-13,15,1,0,0,,7,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-13,15,1,0,0,0,3,3,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,2.7831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-102,48,1,0,0,response7disk,7,5,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,,4,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-1,-1,1,0,0,0,4,4,32,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,5,1.5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,87,-35,1,0,0,response3disk,6,6,-23,4,1,0,0,rectangle,-23,4,1,0,0,,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-23,4,1,0,0,0,5,5,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,2,2.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-91,-63,1,0,0,response5disk,6,7,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-2,-4,1,0,0,0,6,6,20,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,2,1.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-75,-36,1,0,0,response5disk,6,8,-4,2,1,0,0,rectangle,-4,2,1,0,0,,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-4,2,1,0,0,0,7,7,21,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,1.3175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,28,87,1,0,0,response1disk,1,9,3,3,1,0,0,rectangle,3,3,1,0,0,,4,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",3,3,1,0,0,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,1,1.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-100,31,1,0,0,response7disk,2,10,-13,8,1,0,0,rectangle,-13,8,1,0,0,,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-13,8,1,0,0,0,9,9,31,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,2,1.6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-102,-50,1,0,0,response5disk,4,11,-23,-6,1,0,0,rectangle,-23,-6,1,0,0,,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-23,-6,1,0,0,0,10,10,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,4,1.8168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,45,-95,1,0,0,response3disk,5,12,3,1,1,0,0,rectangle,3,1,1,0,0,,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",3,1,1,0,0,0,11,11,40,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,5,3.0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,90,-60,1,0,0,response3disk,3,13,-21,-1,1,0,0,rectangle,-21,-1,1,0,0,,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-21,-1,1,0,0,0,12,12,34,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,7,1.5171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,48,110,1,0,0,response1disk,4,14,-6,-1,1,0,0,rectangle,-6,-1,1,0,0,,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-6,-1,1,0,0,0,13,13,37,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,5,1.7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,91,-54,1,0,0,response3disk,7,15,8,-11,1,0,0,rectangle,8,-11,1,0,0,,7,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",8,-11,1,0,0,0,14,14,16,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,1.2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,39,86,1,0,0,response1disk,7,16,10,14,1,0,0,rectangle,10,14,1,0,0,,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",10,14,1,0,0,0,15,15,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,1.7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-81,38,1,0,0,response7disk,3,17,-14,0,1,0,0,rectangle,-14,0,1,0,0,,5,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-14,0,1,0,0,0,16,16,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,0,1.3344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-47,106,1,0,0,response7disk,5,18,-3,4,1,0,0,rectangle,88,-47,1,0,0,5,5,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-11,1,1,0,0,0,17,17,2,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,0,1.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-58,98,1,0,0,response7disk,1,19,-1,10,1,0,0,rectangle,-1,10,1,0,0,5,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-1,10,1,0,0,0,18,18,45,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,1.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,47,-90,1,0,0,response3disk,7,20,-4,-1,1,0,0,rectangle,-4,-1,1,0,0,5,5,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-4,-1,1,0,0,0,19,19,15,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,5,2.4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,92,-29,1,0,0,response3disk,4,21,12,-5,1,0,0,rectangle,12,-5,1,0,0,5,2,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",12,-5,1,0,0,0,20,20,48,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,1,1.7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-88,44,1,0,0,response7disk,1,22,2,7,1,0,0,rectangle,2,7,1,0,0,5,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",2,7,1,0,0,0,21,21,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,1,1.2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-99,42,1,0,0,response7disk,2,23,-1,-14,1,0,0,rectangle,-1,-14,1,0,0,5,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-1,-14,1,0,0,0,22,22,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,4,1.9501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,23,-112,1,0,0,response3disk,5,24,-21,11,1,0,0,rectangle,-21,11,1,0,0,5,3,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-21,11,1,0,0,0,23,23,47,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,6,1.5344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,75,42,1,0,0,response1disk,1,25,-11,-9,1,0,0,rectangle,-11,-9,1,0,0,5,2,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-11,-9,1,0,0,0,24,24,39,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,5,1.6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,84,-42,1,0,0,response3disk,2,26,5,-3,1,0,0,rectangle,5,-3,1,0,0,5,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",5,-3,1,0,0,0,25,25,12,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,7,1.3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,44,92,1,0,0,response1disk,2,27,-4,9,1,0,0,rectangle,-4,9,1,0,0,5,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-4,9,1,0,0,0,26,26,44,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,1,3.1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-90,32,1,0,0,response7disk,1,28,9,-8,1,0,0,rectangle,9,-8,1,0,0,5,1,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",9,-8,1,0,0,0,27,27,42,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,3,2.8334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-36,-93,1,0,0,response5disk,5,29,-1,-2,1,0,0,rectangle,-1,-2,1,0,0,5,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-1,-2,1,0,0,0,28,28,18,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,4,2.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,49,-101,1,0,0,response3disk,5,30,-10,4,1,0,0,rectangle,-10,4,1,0,0,5,0,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-10,4,1,0,0,0,29,29,19,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,1,1.1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,-95,48,1,0,0,response7disk,1,31,-11,-5,1,0,0,rectangle,-11,-5,1,0,0,5,6,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-11,-5,1,0,0,0,30,30,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,1.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60c939c438c389b49847c08b,60cc910efe816075c449cef0,2021-06-18_13h27.14.437,FlowerSimilarity_Experiment,2021.1.2,Win32,60.84205403,60cc862d586bafd4cd2fa98a,,,,,,46,91,1,0,0,response1disk,7,32,13,-5,1,0,0,rectangle,-89,-40,1,0,0,5,2,"[220,32,196,18,87,290,275,252,98,229,264,120,123,234,125,269,265,132,48,285]",-8,6,1,0,0,0,31,31,29,1,response5disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
