key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,6,FF,,3,1.7728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-30,-108,1,0,0,response5disk,4,4,6,15,1,0,0,rectangle,6,15,1,0,0,,6,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",6,15,1,0,0,0,3,3,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,4,2.5151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,48,-116,1,0,0,response3disk,5,5,11,-7,1,0,0,rectangle,11,-7,1,0,0,,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",11,-7,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,5,1.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,119,-46,1,0,0,response3disk,7,6,36,-7,1,0,0,rectangle,36,-7,1,0,0,,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",36,-7,1,0,0,0,5,5,43,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,2.8834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-32,-95,1,0,0,response5disk,5,7,-13,-15,1,0,0,rectangle,-13,-15,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-13,-15,1,0,0,0,6,6,47,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,3,1.8819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-46,-97,1,0,0,response5disk,4,8,14,-5,1,0,0,rectangle,14,-5,1,0,0,,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",14,-5,1,0,0,0,7,7,38,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,6,1.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,80,43,1,0,0,response1disk,6,9,20,4,1,0,0,rectangle,20,4,1,0,0,,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",20,4,1,0,0,0,8,8,13,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,6,1.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,117,39,1,0,0,response1disk,1,10,13,-9,1,0,0,rectangle,13,-9,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",13,-9,1,0,0,0,9,9,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,1.6553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,85,104,1,0,0,response1disk,6,11,26,6,1,0,0,rectangle,26,6,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",26,6,1,0,0,0,10,10,30,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,FF,,7,1.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,59,94,1,0,0,response1disk,6,12,11,1,1,0,0,rectangle,11,1,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",11,1,1,0,0,0,11,11,46,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,5,2.5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,107,-43,1,0,0,response3disk,2,13,34,0,1,0,0,rectangle,34,0,1,0,0,,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",34,0,1,0,0,0,12,12,28,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,4,1.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,26,-112,1,0,0,response3disk,2,14,29,4,1,0,0,rectangle,29,4,1,0,0,,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",29,4,1,0,0,0,13,13,12,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,7,2.7223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,78,120,1,0,0,response1disk,3,15,26,4,1,0,0,rectangle,115,75,1,0,0,6,6,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-16,-4,1,0,0,0,14,14,1,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,FF,,3,1.4563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-36,-98,1,0,0,response5disk,7,16,25,-8,1,0,0,rectangle,25,-8,1,0,0,6,1,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",25,-8,1,0,0,0,15,15,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,4,1.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,41,-91,1,0,0,response3disk,2,17,-6,17,1,0,0,rectangle,42,84,1,0,0,7,7,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-21,13,1,0,0,0,16,16,35,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,7,2.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,83,105,1,0,0,response1disk,7,18,28,3,1,0,0,rectangle,28,3,1,0,0,7,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",28,3,1,0,0,0,17,17,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,FF,,2,2.1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-85,-76,1,0,0,response5disk,5,19,-8,3,1,0,0,rectangle,-8,3,1,0,0,7,5,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-8,3,1,0,0,0,18,18,19,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,3,1.8757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-77,-88,1,0,0,response5disk,3,20,18,9,1,0,0,rectangle,18,9,1,0,0,7,6,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",18,9,1,0,0,0,19,19,41,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,FF,,3,1.7782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-105,-130,1,0,0,response5disk,4,21,16,8,1,0,0,rectangle,16,8,1,0,0,7,3,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",16,8,1,0,0,0,20,20,26,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,FF,,3,1.2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,-55,-96,1,0,0,response5disk,4,22,-29,-4,1,0,0,rectangle,-29,-4,1,0,0,7,5,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",-29,-4,1,0,0,0,21,21,48,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4,FF,,7,1.2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,54,87,1,0,0,response1disk,4,23,5,-8,1,0,0,rectangle,5,-8,1,0,0,7,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",5,-8,1,0,0,0,22,22,37,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,FF,,7,2.4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60cc58605a093ecdaf2f7b3c,60cc886b87ed5c1180233a22,2021-06-18_06h58.02.043,FlowerSimilarity_Experiment,2021.1.2,Win32,6.648140515,60cc862d586bafd4cd2fa98a,,,83,109,1,0,0,response1disk,1,24,34,17,1,0,0,rectangle,34,17,1,0,0,6,4,"[264,193,79,88,157,278,17,109,36,141,242,200,300,59,312,154,258,235,15,296]",34,17,1,0,0,0,23,23,7,1,,,,,,,,,,,,,,,,,,,,,,,
